"","x"
"1","X"
"2","Acres"
"3","Annual.Visitors"
"4","Visitors.by.Acres"
"5","Retail.Sales.Tax.Collected..Inflation."
"6","Total.Retail.Sales..Inflation."
"7","Retail.Square.Footage"
"8","Unemployment.Rate..Summit."
"9","CPI"
"10","Total.Nearby.Housing"
"11","Annual.Income..Summit."
"12","Annual.Income..Colorado."
"13","Skiable.Green.Terrain"
"14","Skiable.Blue.Terrain"
"15","Skiable.Black.Terrain"
"16","Skiable.Double.Black.Terrain"
"17","Snowmaking.Acres"
"18","Breckenridge.Permanent.Residents"
"19","Breckenridge.Peak.Residents"
"20","Upper.Blue.Permanent.Residents"
"21","Upper.Blue.Peak.Residents"
"22","Summit.County.Permanent.Residents"
"23","Summit.County.Peak.Residents"
